,time,flux,err
217198,-1745.3086670921184,0.99976635,40.675117
217199,-1745.3079859833233,1.000913,40.68353
217200,-1745.3073048745282,1.0008274,40.675983
217201,-1745.3066236660816,0.99920195,40.65851
217202,-1745.3059425572865,1.000816,40.675835
217203,-1745.3052614484914,0.9991202,40.650368
217204,-1745.304580239579,1.0002428,40.661816
217205,-1745.3038991312496,1.0002275,40.656418
217206,-1745.3032179223374,0.9986435,40.63441
217207,-1745.3025369136594,1.000068,40.649353
217208,-1745.3018558048643,0.99826336,40.62266
217209,-1745.3011746960692,0.99996156,40.637608
217210,-1745.3004934876226,0.99925107,40.62918
217211,-1745.2998123788277,0.9990305,40.620598
217212,-1745.2991311699152,1.0000638,40.629448
217213,-1745.29845006112,0.99966896,40.622974
217214,-1745.2977689527906,1.0017587,40.65085
217215,-1745.2970879441127,0.9995894,40.613678
217216,-1745.2964067352004,0.9994661,40.61264
217217,-1745.295725626405,1.0006754,40.625637
217218,-1745.2950445176102,1.0014132,40.62929
217219,-1745.2943633091636,0.99929696,40.599087
217220,-1745.2936822003685,0.9997565,40.60302
217221,-1745.2930010915734,1.0005215,40.61091
217222,-1745.292319882661,0.99853086,40.583767
217223,-1745.2916388739832,0.99901426,40.588142
217224,-1745.290957765188,0.99897784,40.583317
217225,-1745.2902765567414,1.0009723,40.605587
217226,-1745.2895954479463,0.9985019,40.573593
217227,-1745.2889143391512,0.9992429,40.581944
217228,-1745.2882331307046,0.99967045,40.587635
217229,-1745.2875520219095,1.000494,40.595406
217230,-1745.2868709131144,0.99954456,40.580753
217231,-1745.2861898043193,0.9999692,40.583096
217232,-1745.2855086955242,0.9993004,40.578136
217233,-1745.284827586729,1.0001521,40.583664
217234,-1745.2841463782825,0.99846035,40.563793
217235,-1745.2834652694874,1.0001283,40.583733
217236,-1745.2827841606922,0.9998133,40.578087
217237,-1745.2821030518971,0.9997559,40.578262
217238,-1745.2814218429849,1.0010737,40.591232
217239,-1745.2800597255118,1.000587,40.588657
217240,-1745.2793785170652,0.99999106,40.583138
217241,-1745.27869740827,0.999897,40.57734
217242,-1745.278016299475,1.0017346,40.605267
217243,-1745.2773350905627,0.9992333,40.566765
217244,-1745.2766539822333,1.0000956,40.586987
217245,-1745.275972873438,1.0002505,40.58958
217246,-1745.2752918647602,1.0008326,40.59673
217247,-1745.274610655848,0.9991882,40.578762
217248,-1745.2739295470528,1.0001442,40.594017
217249,-1745.2732483386062,1.0005676,40.600304
217250,-1745.272567229811,0.99927187,40.58816
217251,-1745.271886121016,1.0011767,40.612694
217252,-1745.2712049121037,1.000426,40.606544
217253,-1745.2705238033086,1.001158,40.62092
217254,-1745.269842794631,0.99843,40.58654
217255,-1745.269161586184,1.000175,40.615227
217256,-1745.2677993685938,1.0000745,40.621086
217257,-1745.2671181596816,0.9986886,40.6061
217258,-1745.2664370508865,0.9997621,40.62186
217259,-1745.265755942557,1.0011071,40.64597
217260,-1745.2650747336447,1.0005003,40.643707
217261,-1745.2643936248496,0.99914366,40.630413
217262,-1745.2637126161717,0.99875754,40.626785
217263,-1745.2630314072594,0.9998788,40.64997
217264,-1745.26235029893,1.0013487,40.670017
217265,-1745.2616691901349,1.0001514,40.65692
217266,-1745.2609879812226,1.0005716,40.66807
217267,-1745.2603068724277,0.99844956,40.641884
217268,-1745.2596257636324,1.0002708,40.672646
217269,-1745.2589446548373,1.0004272,40.67994
217270,-1745.258263546042,0.9986675,40.660286
217271,-1745.257582437247,0.99965197,40.677387
217272,-1745.2569013289176,1.0011808,40.698624
217273,-1745.2562201200053,1.0001545,40.68781
217274,-1745.2555390112102,0.99998605,40.689144
217275,-1745.254857902415,0.99981844,40.69249
217276,-1745.2541766939685,0.99965036,40.69204
217277,-1745.2534955851734,1.0001255,40.699425
217278,-1745.2528145764954,1.0000048,40.694374
217279,-1745.2521333675832,0.99985385,40.69633
217280,-1745.251452258788,0.99967223,40.69641
217281,-1745.250771149993,0.9981308,40.67434
217282,-1745.2500900411978,0.99964637,40.694145
217283,-1745.2494088327512,1.0012519,40.710083
217284,-1745.248727723956,1.0000703,40.695522
217285,-1745.2480465150438,0.9994739,40.684597
217286,-1745.247365506366,1.0001665,40.696186
217287,-1745.2466843975708,0.9986839,40.676582
